score,status,final_url,orig_url,content_type,server,content_length,response_ms,tls_issuer,flags,notes
5,200,https://github.com/1e3,https://github.com/1e3,text/html; charset=utf-8,github.com,,370,,,
5,200,https://github.com/1e4,https://github.com/1e4,text/html; charset=utf-8,github.com,,412,,,
5,200,https://github.com/1e5,https://github.com/1e5,text/html; charset=utf-8,github.com,,253,,,
5,404,https://github.com/1e6,https://github.com/1e6,text/plain; charset=utf-8,github.com,9,163,,,
5,404,https://github.com/2,https://github.com/2,text/plain; charset=utf-8,github.com,9,152,,,
5,200,https://github.com/1e7,https://github.com/1e7,text/html; charset=utf-8,github.com,,258,,,
5,404,https://github.com/2-e.width/2,https://github.com/2-e.width/2,text/plain; charset=utf-8,github.com,9,153,,,
5,404,https://github.com/2-t.width/2,https://github.com/2-t.width/2,text/plain; charset=utf-8,github.com,9,135,,,
5,404,https://github.com/2-o/2,https://github.com/2-o/2,text/html; charset=utf-8,github.com,,308,,,
5,404,https://github.com/2.4,https://github.com/2.4,text/plain; charset=utf-8,github.com,9,164,,,
5,404,https://github.com/2.75,https://github.com/2.75,text/plain; charset=utf-8,github.com,9,152,,,
5,404,https://github.com/2/Math.PI,https://github.com/2/Math.PI,text/html; charset=utf-8,github.com,,225,,,
5,404,https://github.com/24,https://github.com/24,text/plain; charset=utf-8,github.com,9,155,,,
5,200,https://github.com/200,https://github.com/200,text/html; charset=utf-8,github.com,,454,,,
5,200,https://github.com/240,https://github.com/240,text/html; charset=utf-8,github.com,,250,,,
5,200,https://github.com/247,https://github.com/247,text/html; charset=utf-8,github.com,,280,,,
5,200,https://github.com/255,https://github.com/255,text/html; charset=utf-8,github.com,,299,,,
5,404,https://github.com/2:0,https://github.com/2:0,text/plain; charset=utf-8,github.com,9,156,,,
5,404,https://github.com/2:1,https://github.com/2:1,text/plain; charset=utf-8,github.com,9,165,,,
5,200,https://github.com/3,https://github.com/3,text/html; charset=utf-8,github.com,,305,,,
5,200,https://github.com/3-1,https://github.com/3-1,text/html; charset=utf-8,github.com,,243,,,
5,404,https://github.com/3-i,https://github.com/3-i,text/plain; charset=utf-8,github.com,9,151,,,
5,200,https://github.com/3-n,https://github.com/3-n,text/html; charset=utf-8,github.com,,382,,,
5,200,https://github.com/3-t,https://github.com/3-t,text/html; charset=utf-8,github.com,,261,,,
5,404,https://github.com/3/255,https://github.com/3/255,text/html; charset=utf-8,github.com,,239,,,
5,200,https://github.com/30,https://github.com/30,text/html; charset=utf-8,github.com,,251,,,
5,200,https://github.com/36,https://github.com/36,text/html; charset=utf-8,github.com,,268,,,
5,200,https://github.com/32767,https://github.com/32767,text/html; charset=utf-8,github.com,,291,,,
5,200,https://github.com/3600,https://github.com/3600,text/html; charset=utf-8,github.com,,260,,,
5,404,https://github.com/36e5,https://github.com/36e5,text/plain; charset=utf-8,github.com,9,145,,,
5,200,https://github.com/360,https://github.com/360,text/html; charset=utf-8,github.com,,470,,,
5,200,https://github.com/39,https://github.com/39,text/html; charset=utf-8,github.com,,332,,,
5,200,https://github.com/4,https://github.com/4,text/html; charset=utf-8,github.com,,290,,,
5,200,https://github.com/50,https://github.com/50,text/html; charset=utf-8,github.com,,284,,,
5,200,https://github.com/5,https://github.com/5,text/html; charset=utf-8,github.com,,301,,,
5,200,https://github.com/500,https://github.com/500,text/html,github.com,,156,,,
5,200,https://github.com/52,https://github.com/52,text/html; charset=utf-8,github.com,,348,,,
5,200,https://github.com/6,https://github.com/6,text/html; charset=utf-8,github.com,,318,,,
5,404,https://github.com/6/c,https://github.com/6/c,text/html; charset=utf-8,github.com,,226,,,
5,404,https://github.com/605.1.15,https://github.com/605.1.15,text/plain; charset=utf-8,github.com,9,145,,,
5,200,https://github.com/60,https://github.com/60,text/html; charset=utf-8,github.com,,290,,,
5,200,https://github.com/65535,https://github.com/65535,text/html; charset=utf-8,github.com,,290,,,
5,200,https://github.com/6e4,https://github.com/6e4,text/html; charset=utf-8,github.com,,286,,,
