orig_url,final_url,status,content_type,response_ms,score,is_graphql,notes
"https://github.com/1e5","https://github.com/1e5",200,"text/html; charset=utf-8",253,5,0,""
"https://github.com/1e6","https://github.com/1e6",404,"text/plain; charset=utf-8",163,5,0,""
"https://github.com/2","https://github.com/2",404,"text/plain; charset=utf-8",152,5,0,""
"https://github.com/1e7","https://github.com/1e7",200,"text/html; charset=utf-8",258,5,0,""
"https://github.com/2-e.width/2","https://github.com/2-e.width/2",404,"text/plain; charset=utf-8",153,5,0,""
"https://github.com/2-t.width/2","https://github.com/2-t.width/2",404,"text/plain; charset=utf-8",135,5,0,""
"https://github.com/2-o/2","https://github.com/2-o/2",404,"text/html; charset=utf-8",308,5,0,""
"https://github.com/2.4","https://github.com/2.4",404,"text/plain; charset=utf-8",164,5,0,""
"https://github.com/2.75","https://github.com/2.75",404,"text/plain; charset=utf-8",152,5,0,""
"https://github.com/2/Math.PI","https://github.com/2/Math.PI",404,"text/html; charset=utf-8",225,5,0,""
"https://github.com/24","https://github.com/24",404,"text/plain; charset=utf-8",155,5,0,""
"https://github.com/200","https://github.com/200",200,"text/html; charset=utf-8",454,5,0,""
"https://github.com/240","https://github.com/240",200,"text/html; charset=utf-8",250,5,0,""
"https://github.com/247","https://github.com/247",200,"text/html; charset=utf-8",280,5,0,""
"https://github.com/255","https://github.com/255",200,"text/html; charset=utf-8",299,5,0,""
"https://github.com/2:0","https://github.com/2:0",404,"text/plain; charset=utf-8",156,5,0,""
"https://github.com/2:1","https://github.com/2:1",404,"text/plain; charset=utf-8",165,5,0,""
"https://github.com/3","https://github.com/3",200,"text/html; charset=utf-8",305,5,0,""
"https://github.com/3-1","https://github.com/3-1",200,"text/html; charset=utf-8",243,5,0,""
"https://github.com/3-i","https://github.com/3-i",404,"text/plain; charset=utf-8",151,5,0,""
"https://github.com/3-n","https://github.com/3-n",200,"text/html; charset=utf-8",382,5,0,""
"https://github.com/3-t","https://github.com/3-t",200,"text/html; charset=utf-8",261,5,0,""
"https://github.com/3/255","https://github.com/3/255",404,"text/html; charset=utf-8",239,5,0,""
"https://github.com/30","https://github.com/30",200,"text/html; charset=utf-8",251,5,0,""
"https://github.com/36","https://github.com/36",200,"text/html; charset=utf-8",268,5,0,""
"https://github.com/32767","https://github.com/32767",200,"text/html; charset=utf-8",291,5,0,""
"https://github.com/3600","https://github.com/3600",200,"text/html; charset=utf-8",260,5,0,""
"https://github.com/36e5","https://github.com/36e5",404,"text/plain; charset=utf-8",145,5,0,""
"https://github.com/360","https://github.com/360",200,"text/html; charset=utf-8",470,5,0,""
"https://github.com/39","https://github.com/39",200,"text/html; charset=utf-8",332,5,0,""
"https://github.com/4","https://github.com/4",200,"text/html; charset=utf-8",290,5,0,""
"https://github.com/50","https://github.com/50",200,"text/html; charset=utf-8",284,5,0,""
"https://github.com/5","https://github.com/5",200,"text/html; charset=utf-8",301,5,0,""
"https://github.com/500","https://github.com/500",200,"text/html",156,5,0,""
"https://github.com/52","https://github.com/52",200,"text/html; charset=utf-8",348,5,0,""
"https://github.com/6","https://github.com/6",200,"text/html; charset=utf-8",318,5,0,""
"https://github.com/6/c","https://github.com/6/c",404,"text/html; charset=utf-8",226,5,0,""
"https://github.com/605.1.15","https://github.com/605.1.15",404,"text/plain; charset=utf-8",145,5,0,""
"https://github.com/60","https://github.com/60",200,"text/html; charset=utf-8",290,5,0,""
"https://github.com/65535","https://github.com/65535",200,"text/html; charset=utf-8",290,5,0,""
"https://github.com/6e4","https://github.com/6e4",200,"text/html; charset=utf-8",286,5,0,""
